zh,th
我还记得爸爸的心跳声呢,ฉันยังจำเสียงหัวใจเต้นของพ่อได้
噢 刚好500 50的也可以吧?,500 คุณเอาเหรียญ 50 วอนได้ใช่ไหม? นี่ !
因没现钱 需要将抚慰金分期付款时,เพราะว่าไม่มีเงิน ก็เลยต้องขอให้จ่ายให้
真的好好吃啊,ดูน่าอร่อยนะ นั่นไม่ใช่รูปวาดหรอ?
就放在抽屉的深处,ฉันก็เลยเก็บให้พ้นตา
这家的牛排不是盖的,สเต็กที่นี่รสชาติไม่เลวนะ
最近想起来的 偶尔会想起,ฉันนึกถึงมันบ่อยๆ บางทีฉันก็จำได้
那你戴了吗?,คุณทำงั้นหรอ?
这是你的吧? *黄碟:,ของคุณใช่มั้ย?
那你戴了吗?,คุณทำงั้นหรอ?
不知何时就消失了,มาวันนึง มันก็หายไปแล้ว
我还记得爸爸的心跳声呢,ฉันยังจำเสียงหัวใจเต้นของพ่อได้
那离婚纪念日见面怎么样?,งั้นเจอกันวันครบรอบ อย่ากันเป็นไง?
因没现钱 需要将抚慰金分期付款时,เพราะว่าไม่มีเงิน ก็เลยต้องขอให้จ่ายให้
有陪你来的男人吗?,คุณมีคนที่จะพามาด้วยแล้วเหรอ? ถ้ามี คุณจะให้ฉันไหมล่ะ?
得了 嗯?,ก็บอกว่าไหวไง
真是的 我差点又忘了,อ้า! เกือบลืม
噢 刚好500 50的也可以吧?,500 คุณเอาเหรียญ 50 วอนได้ใช่ไหม? นี่ !
真是小气,คุณคิดเอาไว้ก่อนอยู่แล้วจริงๆ
真的好好吃啊,ดูน่าอร่อยนะ นั่นไม่ใช่รูปวาดหรอ?
可那是事实啊 是听大人们说的吧?,คุณได้ยินผู้ใหญ่เขาคุยกันรึเปล่า?
两张都给你的话,ถ้าผมเอาบัตรเชิญให้คุณ
为什么?,ทำไมล่ะ?
这个为什么会在厨房里,ทำไมนี่ถึงอยู่ในครัวน่ะ
真是有的看啊,คุณดูเหมือนผู้เชี่ยวชาญจริงๆ
在他们酒店结婚的情侣们... 酒店又不能确定 绝对不会分手,เขาไม่สามารถรับประกันได้เลยว่า คู่ที่แต่งงานที่โรงแรมจะไม่แยกทางกัน
还是 一人分一张,หรือว่าเราควรไปทางใครทางมัน พาคนอื่นมาแทนดี?
决定分道扬镳 已经一年零六个月,นี่ก็ ปีครึ่งแล้วที่เราตัดสินใจแยกทางกัน
想放在咖啡里,ฉันอยากใส่ในกาแฟ
真是小气,คุณคิดเอาไว้ก่อนอยู่แล้วจริงๆ
神奇吧?,น่าแปลกใจใช่มั้ยหล่ะ?
两张都给我吧 很简单啊,เอาบัตรเชิญมาให้ฉันสิ ง่ายดีนี่
钱 拿着吧,เอาเงินไป นับด้วย
我能感受到透过玻璃的阳光,ฉันรู้สึกได้ถึงแสงอาทิตย์ลอดผ่านกระจกเข้ามา
还每年纪念日都送餐卷,เขาส่งบัตรเชิญรับประทานอาหารมาทุกปี
真的?,จริงเหรอ?
又何况是在举行过结婚仪式的酒店,และนี่ก็ที่โรงแรมที่เราแต่งงานกันด้วย?
屁股会冷,ถ้านั่งตรงนั้นหลังคุณไม่เย็นรึไง?
一边把你的脸撕成一半?,อ๋อ มองหน้าคุณแล้วเอาเข็มจิ้มใช่ไหม?
是吗 那就谢谢了,งั้นเหรอ ขอบใจนะ
屁股会冷,ถ้านั่งตรงนั้นหลังคุณไม่เย็นรึไง?
噢 刚好500 50的也可以吧?,500 คุณเอาเหรียญ 50 วอนได้ใช่ไหม? นี่ !
少了1万,มันขาดไป หมื่นวอนนะ
我也要试一把,ฉันน่าจะลองทำอย่างนั้นด้วย
那个... 有点困难,อาจจะยากนิดหน่อย
在他们酒店结婚的情侣们... 酒店又不能确定 绝对不会分手,เขาไม่สามารถรับประกันได้เลยว่า คู่ที่แต่งงานที่โรงแรมจะไม่แยกทางกัน
今天的天气是不是该做些什么啊,เราน่าจะทำอะไรสักอย่างในวันอย่างนี้นะ
不知何时就消失了,มาวันนึง มันก็หายไปแล้ว
真的不是听来的 是记忆里的,ไม่ใช่ฉันที่จำได้ แต่เป็นความทรงจำของฉันต่างหาก
和别人一起来吗? 结账的时候会不会被揭穿呢?,มันจะไม่ยากตอนจ่ายเงิน?
我说不用了 仔细想想 离婚夫妇见面的机会多得没法说,"ฉันมาคิดๆดู, คู่ที่หย่ากันแล้วก็มีทางเจอกันตั้งเยอะ"
夜里寂寞难耐的时候看看吧,เอาไว้ดูก่อนนอนเวลาเบื่อละกัน
以后 我们结婚纪念日不要见面了,ครั้งหน้า เราไม่ต้องเจอในวันครบรอบแต่งงานแล้วนะ
今天的天气是不是该做些什么啊,เราน่าจะทำอะไรสักอย่างในวันอย่างนี้นะ
中枪了吗 白色情人节跟你一起?,บ้ารึเปล่า? คุณอยากให้ฉันอยู่กับคุณวันไวท์เดย์ ใช่ไหม? เอามืออออกไป
要是你有女人的话 我会给你的,ถ้าคุณมีแฟนแล้ว ฉันอาจจะให้คุณ
真的?,จริงเหรอ?
真的不是听来的 是记忆里的,ไม่ใช่ฉันที่จำได้ แต่เป็นความทรงจำของฉันต่างหาก
死掉的孩子能知道什么,เด็กที่ตายไปแล้วจะรู้ได้ยังไง?
没什么 只是念了段书本上的语句,ไม่ใช่อย่างนั้น ฉันแค่จำมาจากหนังสือที่เคยอ่านต่างหาก
扔了,ฉันทิ้งมันไปแล้ว!
活着的话 应该是两岁了,ถ้าเขายังมีชีวิต ตอนนี้คงอายุ 2 ขวบ
看看你数钱的样子,ดูท่านับเงินคุณแล้วนะ
我也要试一把,ฉันน่าจะลองทำอย่างนั้นด้วย
两张都给你的话,ถ้าผมเอาบัตรเชิญให้คุณ
就放在抽屉的深处,ฉันก็เลยเก็บให้พ้นตา
然后呢,แล้ว?
我也要试一把,ฉันน่าจะลองทำอย่างนั้นด้วย
我能感受到透过玻璃的阳光,ฉันรู้สึกได้ถึงแสงอาทิตย์ลอดผ่านกระจกเข้ามา
钱 拿着吧,เอาเงินไป นับด้วย
想吃刀削面吗?,อยากกินคัลคักสุ*มั้ย [* หมี่ในซอสถั่วเหลือง]
一边把你的脸撕成一半?,อ๋อ มองหน้าคุณแล้วเอาเข็มจิ้มใช่ไหม?
记得自己的洗礼仪式 这可能吗?,คุณจำตอนพิธีล้างบาปของคุณได้ เป็นไปได้ยังไง?
真的?,จริงเหรอ?
钱 拿着吧,เอาเงินไป นับด้วย
想放在咖啡里,ฉันอยากใส่ในกาแฟ
屁股会冷,ถ้านั่งตรงนั้นหลังคุณไม่เย็นรึไง?
嗯 你自己去吧,ไปเองสิ!
屁股会冷,ถ้านั่งตรงนั้นหลังคุณไม่เย็นรึไง?
